Collinsella Aerofaciens	Collinsella Pronvencensis	Collinsella Intestinalis	Senegalimassilia Anaerobia	Senegalimassilia Faecalis
0.931	0.956	0.96	0.932	0.932
0.924	0.922	0.956	0.924	0.924
0.923	0.919	0.952	0.916	0.916
0.92	0.909	0.946	0.909	0.909
0.917	0.908	0.946	0.897	0.897
0.897	0.908	0.942	0.897	0.897
0.895	0.902	0.936	0.894	0.894
0.889	0.899	0.936	0.892	0.892
0.888	0.898	0.921	0.892	0.892
0.887	0.898	0.912	0.889	0.889
0.887	0.896	0.91	0.883	0.883
0.886	0.894	0.904	0.88	0.88
0.886	0.894	0.903	0.879	0.879
0.883	0.894	0.901	0.878	0.878
0.881	0.893	0.898	0.876	0.876
0.879	0.892	0.897	0.875	0.875
0.879	0.891	0.895	0.875	0.875
0.878	0.889	0.892	0.875	0.875
0.878	0.888	0.89	0.875	0.875
0.877	0.888	0.888	0.874	0.874
0.877	0.887	0.888	0.874	0.874
0.876	0.886	0.888	0.873	0.873
0.876	0.885	0.887	0.873	0.873
0.874	0.885	0.884	0.872	0.872
0.874	0.885	0.884	0.872	0.872
0.873	0.884	0.884	0.872	0.872
0.872	0.884	0.883	0.872	0.872
0.871	0.884	0.883	0.871	0.871
0.871	0.884	0.881	0.871	0.871
0.871	0.883	0.88	0.871	0.871
0.871	0.881	0.88	0.871	0.871
0.871	0.88	0.88	0.871	0.871
0.87	0.88	0.878	0.87	0.87
0.87	0.88	0.876	0.869	0.869
0.87	0.879	0.876	0.869	0.869
0.87	0.878	0.875	0.869	0.869
0.869	0.878	0.875	0.868	0.868
0.868	0.878	0.875	0.868	0.868
0.867	0.878	0.874	0.866	0.866
0.867	0.878	0.874	0.866	0.866
0.866	0.876	0.874	0.865	0.865
0.866	0.876	0.873	0.865	0.865
0.865	0.876	0.872	0.865	0.865
0.865	0.875	0.871	0.864	0.864
0.864	0.874	0.869	0.864	0.864
0.863	0.874	0.869	0.864	0.864
0.863	0.873	0.869	0.863	0.863
0.862	0.873	0.869	0.863	0.863
0.862	0.873	0.868	0.862	0.862
0.862	0.873	0.867	0.862	0.862
0.862	0.872	0.867	0.861	0.861
0.862	0.872	0.866	0.86	0.86
0.861	0.872	0.866	0.86	0.86
0.861	0.871	0.865	0.86	0.86
0.861	0.87	0.864	0.859	0.859
0.86	0.87	0.863	0.858	0.858
0.86	0.869	0.863	0.858	0.858
0.858	0.869	0.863	0.858	0.858
0.857	0.868	0.862	0.858	0.858
