Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	8	8
OG0000001	11	9
OG0000002	8	8
OG0000003	13	8
OG0000004	16	16
OG0000005	9	7
OG0000006	10	9
OG0000007	9	7
OG0000008	3	3
OG0000009	9	9
OG0000010	12	12
OG0000011	7	6
OG0000012	6	3
OG0000013	3	1
OG0000014	4	1
OG0000015	8	7
OG0000016	5	5
OG0000017	4	3
OG0000018	6	6
OG0000019	8	8
OG0000020	2	1
OG0000021	8	8
OG0000022	3	2
OG0000023	2	1
OG0000024	6	5
OG0000025	3	3
OG0000026	1	1
OG0000027	5	4
OG0000028	1	1
OG0000029	2	2
OG0000030	2	2
OG0000031	2	1
OG0000032	3	2
OG0000033	2	2
OG0000034	3	3
OG0000035	3	3
OG0000036	6	6
OG0000037	7	7
OG0000038	4	4
OG0000039	3	3
OG0000040	3	3
OG0000041	3	3
OG0000042	3	1
OG0000043	1	1
OG0000044	4	3
OG0000045	1	1
OG0000046	1	1
OG0000047	5	5
OG0000048	1	1
OG0000049	4	3
OG0000050	3	3
OG0000051	1	1
OG0000052	2	2
OG0000053	2	2
OG0000054	4	4
OG0000055	3	3
OG0000056	1	1
OG0000057	2	2
OG0000058	3	3
OG0000059	2	2
OG0000060	1	1
OG0000061	3	3
OG0000062	2	1
OG0000063	1	1
OG0000064	1	1
OG0000065	3	3
OG0000066	1	1
OG0000067	3	3
OG0000068	2	0
OG0000069	2	2
OG0000070	4	4
OG0000071	4	4
OG0000072	4	4
OG0000073	1	1
OG0000074	2	2
OG0000075	2	2
OG0000076	3	3
OG0000077	2	2
OG0000078	1	1
OG0000079	1	0
OG0000080	2	2
OG0000081	2	2
OG0000082	2	2
OG0000083	2	2
OG0000084	2	1
OG0000085	3	3
OG0000086	2	2
OG0000087	1	1
OG0000088	2	1
OG0000089	1	0
OG0000090	1	1
OG0000091	1	1
OG0000092	2	2
OG0000093	2	1
OG0000094	1	1
OG0000095	2	2
OG0000096	2	2
OG0000097	2	1
OG0000098	1	1
OG0000099	1	1
OG0000100	3	2
OG0000101	4	4
OG0000102	1	1
OG0000103	1	1
OG0000104	1	1
OG0000105	1	0
OG0000106	3	3
OG0000107	6	6
OG0000108	4	4
OG0000109	3	3
OG0000110	6	6
OG0000111	1	1
OG0000112	1	1
OG0000113	1	1
OG0000114	1	1
OG0000115	1	1
OG0000116	3	3
OG0000117	1	1
OG0000118	1	1
OG0000119	1	1
OG0000120	1	1
OG0000121	1	1
OG0000122	2	2
OG0000123	1	1
OG0000124	1	1
OG0000125	2	2
OG0000126	1	1
OG0000127	2	2
OG0000128	1	1
OG0000129	1	1
OG0000130	1	1
OG0000131	1	1
OG0000132	1	1
OG0000133	1	1
OG0000134	1	1
OG0000135	3	3
OG0000136	1	1
OG0000137	1	1
OG0000138	1	1
OG0000139	1	1
OG0000140	3	3
OG0000141	2	2
OG0000142	1	1
OG0000143	3	3
OG0000144	1	1
OG0000145	1	1
OG0000146	2	2
OG0000147	3	3
OG0000148	2	2
OG0000149	2	2
OG0000150	1	1
OG0000151	1	1
OG0000152	2	2
OG0000153	1	0
OG0000154	1	1
OG0000155	1	1
OG0000156	1	0
OG0000157	2	2
OG0000158	2	2
OG0000159	1	1
OG0000160	2	2
OG0000161	1	1
OG0000162	1	1
OG0000163	1	1
OG0000164	1	1
OG0000165	1	1
OG0000166	2	1
OG0000167	1	1
OG0000168	2	2
OG0000169	1	1
OG0000170	2	2
OG0000171	1	1
OG0000172	1	1
OG0000173	2	2
OG0000174	2	2
OG0000175	1	1
OG0000176	2	2
OG0000177	2	2
OG0000178	2	2
OG0000179	2	2
OG0000180	0	0
OG0000181	0	0
OG0000182	0	0
OG0000183	0	0
OG0000184	0	0
OG0000185	0	0
OG0000186	0	0
OG0000187	0	0
OG0000188	0	0
OG0000189	0	0
OG0000190	0	0
OG0000191	0	0
OG0000192	0	0
OG0000193	0	0
OG0000194	0	0
OG0000195	0	0
OG0000196	0	0
OG0000197	0	0
OG0000198	0	0
OG0000199	0	0
OG0000200	0	0
OG0000201	0	0
OG0000202	0	0
OG0000203	0	0
OG0000204	0	0
OG0000205	0	0
OG0000206	0	0
OG0000207	0	0
OG0000208	0	0
OG0000209	0	0
OG0000210	0	0
OG0000211	0	0
OG0000212	0	0
OG0000213	0	0
OG0000214	0	0
OG0000215	0	0
OG0000216	0	0
OG0000217	0	0
OG0000218	0	0
OG0000219	0	0
OG0000220	0	0
OG0000221	0	0
OG0000222	0	0
OG0000223	0	0
OG0000224	0	0
OG0000225	0	0
OG0000226	0	0
OG0000227	0	0
OG0000228	0	0
OG0000229	0	0
OG0000230	0	0
OG0000231	0	0
OG0000232	0	0
OG0000233	0	0
OG0000234	0	0
OG0000235	0	0
OG0000236	0	0
OG0000237	0	0
OG0000238	0	0
OG0000239	0	0
OG0000240	0	0
OG0000241	0	0
OG0000242	0	0
OG0000243	0	0
OG0000244	0	0
OG0000245	0	0
OG0000246	0	0
OG0000247	0	0
OG0000248	0	0
OG0000249	0	0
OG0000250	0	0
OG0000251	0	0
OG0000252	0	0
OG0000253	0	0
OG0000254	0	0
OG0000255	0	0
OG0000256	0	0
OG0000257	0	0
OG0000258	3	3
OG0000259	1	1
OG0000260	0	0
OG0000261	0	0
OG0000262	0	0
OG0000263	0	0
OG0000264	0	0
OG0000265	0	0
OG0000266	0	0
OG0000267	0	0
OG0000268	0	0
OG0000269	0	0
OG0000270	0	0
OG0000271	0	0
OG0000272	0	0
OG0000273	0	0
OG0000274	0	0
OG0000275	0	0
OG0000276	0	0
OG0000277	2	2
OG0000278	0	0
OG0000279	0	0
OG0000280	0	0
OG0000281	0	0
OG0000282	0	0
OG0000283	0	0
OG0000284	0	0
OG0000285	0	0
OG0000286	0	0
OG0000287	0	0
OG0000288	0	0
OG0000289	0	0
OG0000290	0	0
OG0000291	0	0
OG0000292	0	0
OG0000293	0	0
OG0000294	0	0
OG0000295	0	0
OG0000296	0	0
OG0000297	0	0
OG0000298	0	0
OG0000299	0	0
OG0000300	0	0
OG0000301	0	0
OG0000302	0	0
OG0000303	0	0
OG0000304	0	0
OG0000305	0	0
OG0000306	0	0
OG0000307	0	0
OG0000308	1	1
OG0000309	0	0
OG0000310	0	0
OG0000311	0	0
OG0000312	0	0
OG0000313	0	0
OG0000314	0	0
OG0000315	0	0
OG0000316	0	0
OG0000317	0	0
OG0000318	0	0
OG0000319	0	0
OG0000320	0	0
OG0000321	0	0
OG0000322	0	0
OG0000323	0	0
OG0000324	0	0
OG0000325	0	0
OG0000326	0	0
OG0000327	0	0
OG0000328	0	0
OG0000329	0	0
OG0000330	2	2
OG0000331	0	0
OG0000332	0	0
OG0000333	0	0
OG0000334	0	0
OG0000335	0	0
OG0000336	0	0
OG0000337	0	0
OG0000338	0	0
OG0000339	0	0
OG0000340	0	0
OG0000341	0	0
OG0000342	0	0
OG0000343	3	3
OG0000344	0	0
OG0000345	0	0
OG0000346	0	0
OG0000347	0	0
OG0000348	0	0
OG0000349	0	0
OG0000350	0	0
OG0000351	0	0
OG0000352	0	0
OG0000353	0	0
OG0000354	0	0
OG0000355	0	0
OG0000356	0	0
OG0000357	0	0
OG0000358	0	0
OG0000359	0	0
OG0000360	0	0
OG0000361	0	0
OG0000362	0	0
OG0000363	0	0
OG0000364	0	0
OG0000365	0	0
OG0000366	0	0
OG0000367	0	0
OG0000368	0	0
OG0000369	0	0
OG0000370	0	0
OG0000371	0	0
OG0000372	0	0
OG0000373	0	0
OG0000374	0	0
OG0000375	0	0
OG0000376	0	0
OG0000377	0	0
OG0000378	0	0
OG0000379	0	0
OG0000380	0	0
OG0000381	0	0
OG0000382	0	0
OG0000383	3	3
OG0000384	0	0
OG0000385	0	0
OG0000386	0	0
OG0000387	0	0
OG0000388	1	1
OG0000389	0	0
OG0000390	1	1
OG0000391	0	0
OG0000392	0	0
OG0000393	0	0
OG0000394	0	0
OG0000395	0	0
OG0000396	0	0
OG0000397	0	0
OG0000398	0	0
OG0000399	0	0
OG0000400	0	0
OG0000401	0	0
OG0000402	1	1
OG0000403	0	0
OG0000404	0	0
OG0000405	0	0
OG0000406	0	0
OG0000407	0	0
OG0000408	0	0
OG0000409	2	2
OG0000410	3	3
OG0000411	0	0
OG0000412	0	0
OG0000413	0	0
OG0000414	0	0
OG0000415	0	0
OG0000416	0	0
OG0000417	0	0
OG0000418	0	0
OG0000419	0	0
OG0000420	0	0
OG0000421	0	0
OG0000422	0	0
OG0000423	0	0
OG0000424	0	0
OG0000425	0	0
OG0000426	0	0
OG0000427	0	0
OG0000428	0	0
OG0000429	0	0
OG0000430	1	1
OG0000431	0	0
OG0000432	0	0
OG0000433	0	0
OG0000434	1	0
OG0000435	0	0
OG0000436	0	0
OG0000437	0	0
OG0000438	0	0
OG0000439	0	0
OG0000440	0	0
OG0000441	0	0
OG0000442	0	0
OG0000443	0	0
OG0000444	0	0
OG0000445	0	0
OG0000446	0	0
OG0000447	0	0
OG0000448	0	0
OG0000449	0	0
OG0000450	0	0
OG0000451	1	1
OG0000452	0	0
OG0000453	0	0
OG0000454	1	1
OG0000455	0	0
OG0000456	0	0
OG0000457	0	0
OG0000458	1	1
OG0000459	0	0
OG0000460	0	0
OG0000461	0	0
OG0000462	0	0
OG0000463	0	0
OG0000464	0	0
OG0000465	0	0
OG0000466	0	0
OG0000467	0	0
OG0000468	0	0
OG0000469	0	0
OG0000470	0	0
OG0000471	1	1
OG0000472	0	0
OG0000473	0	0
OG0000474	0	0
OG0000475	3	3
OG0000476	0	0
OG0000477	0	0
OG0000478	0	0
OG0000479	0	0
OG0000480	0	0
OG0000481	0	0
OG0000482	0	0
OG0000483	0	0
OG0000484	0	0
OG0000485	0	0
OG0000486	0	0
OG0000487	0	0
OG0000488	0	0
OG0000489	0	0
OG0000490	0	0
OG0000491	0	0
OG0000492	0	0
OG0000493	2	2
OG0000494	0	0
OG0000495	0	0
