# accession.version	start	stop	gap_length	gap_type	linkage_evidence
NZ_HE611014.1	64803	65819	1017	within_scaffold	paired-ends
NZ_HE611014.1	205464	206723	1260	within_scaffold	paired-ends
NZ_HE611014.1	219383	219875	493	within_scaffold	paired-ends
NZ_HE611014.1	273150	273422	273	within_scaffold	paired-ends
NZ_HE611014.1	282849	284205	1357	within_scaffold	paired-ends
NZ_HE611014.1	302567	302898	332	within_scaffold	paired-ends
NZ_HE611014.1	327410	327945	536	within_scaffold	paired-ends
NZ_HE611014.1	349386	350283	898	within_scaffold	paired-ends
NZ_HE611014.1	362568	363075	508	within_scaffold	paired-ends
NZ_HE611014.1	369658	370135	478	within_scaffold	paired-ends
NZ_HE611014.1	417223	417661	439	within_scaffold	paired-ends
NZ_HE611014.1	492964	493906	943	within_scaffold	paired-ends
NZ_HE611014.1	511686	512129	444	within_scaffold	paired-ends
NZ_HE611014.1	672359	673535	1177	within_scaffold	paired-ends
NZ_HE611014.1	687755	688096	342	within_scaffold	paired-ends
NZ_HE611014.1	693546	693936	391	within_scaffold	paired-ends
NZ_HE611015.1	89286	89982	697	within_scaffold	paired-ends
NZ_HE611015.1	321388	322913	1526	within_scaffold	paired-ends
NZ_HE611015.1	333520	334797	1278	within_scaffold	paired-ends
NZ_HE611015.1	337085	337520	436	within_scaffold	paired-ends
NZ_HE611015.1	376874	378211	1338	within_scaffold	paired-ends
NZ_HE611015.1	535376	536200	825	within_scaffold	paired-ends
NZ_HE611015.1	559532	560986	1455	within_scaffold	paired-ends
NZ_HE611015.1	652871	654227	1357	within_scaffold	paired-ends
NZ_HE611016.1	54262	54709	448	within_scaffold	paired-ends
NZ_HE611016.1	65467	66730	1264	within_scaffold	paired-ends
NZ_HE611016.1	83089	83938	850	within_scaffold	paired-ends
NZ_HE611016.1	142186	142549	364	within_scaffold	paired-ends
NZ_HE611016.1	167607	167933	327	within_scaffold	paired-ends
NZ_HE611016.1	209651	210017	367	within_scaffold	paired-ends
NZ_HE611016.1	319522	320845	1324	within_scaffold	paired-ends
NZ_HE611016.1	387506	388584	1079	within_scaffold	paired-ends
NZ_HE611016.1	421551	422740	1190	within_scaffold	paired-ends
NZ_HE611016.1	460768	461334	567	within_scaffold	paired-ends
NZ_HE611016.1	464418	465112	695	within_scaffold	paired-ends
NZ_HE611016.1	466609	467715	1107	within_scaffold	paired-ends
NZ_HE611016.1	503645	505043	1399	within_scaffold	paired-ends
NZ_HE611017.1	18848	19272	425	within_scaffold	paired-ends
NZ_HE611017.1	26153	26760	608	within_scaffold	paired-ends
NZ_HE611017.1	29156	29930	775	within_scaffold	paired-ends
NZ_HE611017.1	45659	47122	1464	within_scaffold	paired-ends
NZ_HE611017.1	51262	52351	1090	within_scaffold	paired-ends
NZ_HE611017.1	59904	60305	402	within_scaffold	paired-ends
NZ_HE611017.1	62381	62677	297	within_scaffold	paired-ends
NZ_HE611017.1	67146	68024	879	within_scaffold	paired-ends
NZ_HE611017.1	84068	84355	288	within_scaffold	paired-ends
NZ_HE611017.1	130717	131522	806	within_scaffold	paired-ends
NZ_HE611017.1	159350	161438	2089	within_scaffold	paired-ends
NZ_HE611017.1	177834	178059	226	within_scaffold	paired-ends
NZ_HE611017.1	217945	218390	446	within_scaffold	paired-ends
NZ_HE611017.1	261209	261597	389	within_scaffold	paired-ends
NZ_HE611018.1	51925	52824	900	within_scaffold	paired-ends
NZ_HE611020.1	692	2390	1699	within_scaffold	paired-ends
NZ_HE611020.1	3995	4014	20	within_scaffold	paired-ends
