## Wed Dec 28 16:28:01 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_z2_drto0 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_z2_drto0 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_z2_drto0/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_006234636.1	1034345.CAEM01000016_gene285	3.6e-42	138.0	28ZR3@1|root,2ZMG0@2|Bacteria,2HAFM@201174|Actinobacteria,4CWC5@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_006363204.1	1118060.CAGZ01000016_gene1798	5.99e-20	79.7	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4CWQV@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_009306348.1	1034345.CAEM01000014_gene171	1.58e-33	115.0	COG0255@1|root,COG0255@2|Bacteria,2IQ6V@201174|Actinobacteria,4CWMP@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the universal ribosomal protein uL29 family	rpmC	-	-	ko:K02904	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L29
WP_015540326.1	1034345.CAEM01000017_gene1587	1.86e-86	254.0	COG0792@1|root,COG0792@2|Bacteria,2HV9H@201174|Actinobacteria,4CWIH@84998|Coriobacteriia	84998|Coriobacteriia	L	Uncharacterised protein family UPF0102	-	-	-	ko:K07460	-	-	-	-	ko00000	-	-	-	UPF0102
WP_042431902.1	1034345.CAEM01000063_gene1260	5.37e-272	743.0	COG3547@1|root,COG3547@2|Bacteria,2HASG@201174|Actinobacteria,4CVKD@84998|Coriobacteriia	84998|Coriobacteriia	L	transposase IS116 IS110 IS902 family	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
WP_042431913.1	1034345.CAEM01000064_gene758	2.4e-277	759.0	COG3547@1|root,COG3547@2|Bacteria,2GNQB@201174|Actinobacteria,4CYI2@84998|Coriobacteriia	84998|Coriobacteriia	L	Transposase IS116/IS110/IS902 family	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
WP_042431930.1	1034345.CAEM01000067_gene1648	3.26e-297	809.0	COG1960@1|root,COG1960@2|Bacteria,2IBGY@201174|Actinobacteria,4CXEU@84998|Coriobacteriia	84998|Coriobacteriia	I	Acyl-CoA dehydrogenase, N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N
WP_042431935.1	1034345.CAEM01000068_gene65	5.04e-147	416.0	COG4965@1|root,COG4965@2|Bacteria,2H577@201174|Actinobacteria,4CVKX@84998|Coriobacteriia	84998|Coriobacteriia	U	type II secretion system protein	-	-	-	ko:K12510	-	-	-	-	ko00000,ko02044	-	-	-	T2SSF
WP_042431951.1	1034345.CAEM01000070_gene1649	1.9e-208	577.0	COG0549@1|root,COG0549@2|Bacteria,2HWQ6@201174|Actinobacteria,4CUT3@84998|Coriobacteriia	84998|Coriobacteriia	E	Belongs to the carbamate kinase family	arcC	-	2.7.2.2	ko:K00926	ko00220,ko00230,ko00910,ko01100,ko01120,ko01200,map00220,map00230,map00910,map01100,map01120,map01200	-	R00150,R01395	RC00002,RC00043,RC02803,RC02804	ko00000,ko00001,ko01000	-	-	-	AA_kinase
WP_042431958.1	1034345.CAEM01000072_gene903	1.23e-76	235.0	COG3170@1|root,COG3170@2|Bacteria	2|Bacteria	NU	translation initiation factor activity	agmX	-	-	ko:K07126,ko:K08930	ko02020,map02020	-	-	-	ko00000,ko00001,ko00194	-	-	-	DUF4339,SPOR,TPR_4,zinc_ribbon_4
WP_042431963.1	1034345.CAEM01000073_gene912	9.82e-118	337.0	COG3177@1|root,COG3177@2|Bacteria,2IAAQ@201174|Actinobacteria,4CVPM@84998|Coriobacteriia	84998|Coriobacteriia	S	Fic/DOC family	-	-	-	-	-	-	-	-	-	-	-	-	Fic
WP_042432008.1	1034345.CAEM01000001_gene437	0.0	1627.0	COG0542@1|root,COG0542@2|Bacteria,2GJ73@201174|Actinobacteria,4CV0R@84998|Coriobacteriia	84998|Coriobacteriia	O	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE	clpB	-	-	ko:K03695	ko04213,map04213	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA,AAA_2,ClpB_D2-small,Clp_N
WP_042432011.1	1034345.CAEM01000001_gene438	9.92e-77	229.0	COG0789@1|root,COG0789@2|Bacteria,2GR1T@201174|Actinobacteria,4CVZ7@84998|Coriobacteriia	84998|Coriobacteriia	K	Transcriptional regulator, MerR family	-	-	-	ko:K13640	-	-	-	-	ko00000,ko03000	-	-	-	MerR_1
WP_042432014.1	1034345.CAEM01000001_gene439	1.81e-228	629.0	COG0484@1|root,COG0484@2|Bacteria,2GJKK@201174|Actinobacteria,4CUEF@84998|Coriobacteriia	84998|Coriobacteriia	O	DnaJ domain protein	-	-	-	ko:K05516	-	-	-	-	ko00000,ko03036,ko03110	-	-	-	DnaJ,DnaJ_C
WP_042432017.1	1034345.CAEM01000001_gene440	4.1e-153	431.0	COG0576@1|root,COG0576@2|Bacteria,2GP4F@201174|Actinobacteria,4CVNG@84998|Coriobacteriia	84998|Coriobacteriia	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	grpE	-	-	ko:K03687	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	GrpE
WP_042432020.1	1034345.CAEM01000001_gene441	0.0	1195.0	COG0443@1|root,COG0443@2|Bacteria,2GJTY@201174|Actinobacteria,4CU7E@84998|Coriobacteriia	84998|Coriobacteriia	O	Heat shock 70 kDa protein	dnaK	-	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	HSP70
