# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	1	149	-							AOBCEHNH_RS00005	149		partial;old_locus_tag=OJIJPFFD_RS00005
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	1	149	-	WP_152062691.1	WP_152062691.1		IS630 transposase-related protein			AOBCEHNH_RS00005	149	49	partial
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	211	762	-							AOBCEHNH_RS00010	552		old_locus_tag=JKKLCJKK_01347,OJIJPFFD_RS00010
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	211	762	-	WP_006723789.1	WP_006723789.1		transcription repressor NadR			AOBCEHNH_RS00010	552	183	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	862	1713	-					nadC		AOBCEHNH_RS00015	852		old_locus_tag=JKKLCJKK_01348,OJIJPFFD_RS00015
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	862	1713	-	WP_118272146.1	WP_118272146.1		carboxylating nicotinate-nucleotide diphosphorylase	nadC		AOBCEHNH_RS00015	852	283	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	1723	3138	-							AOBCEHNH_RS00020	1416		old_locus_tag=JKKLCJKK_01349,OJIJPFFD_RS00020
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	1723	3138	-	WP_152062692.1	WP_152062692.1		FAD-binding protein			AOBCEHNH_RS00020	1416	471	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	3222	4193	-					nadA		AOBCEHNH_RS00025	972		old_locus_tag=JKKLCJKK_01350,OJIJPFFD_RS00025
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	3222	4193	-	WP_152062693.1	WP_152062693.1		quinolinate synthase NadA	nadA		AOBCEHNH_RS00025	972	323	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	4313	4900	-							AOBCEHNH_RS00030	588		old_locus_tag=JKKLCJKK_01351,OJIJPFFD_RS00030
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	4313	4900	-	WP_152062694.1	WP_152062694.1		hypothetical protein			AOBCEHNH_RS00030	588	195	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	5074	5394	+					trxA		AOBCEHNH_RS00035	321		old_locus_tag=JKKLCJKK_01352,OJIJPFFD_RS00035
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	5074	5394	+	WP_006723794.1	WP_006723794.1		thioredoxin	trxA		AOBCEHNH_RS00035	321	106	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	5656	6564	+							AOBCEHNH_RS00040	909		old_locus_tag=JKKLCJKK_01353,OJIJPFFD_RS00040
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	5656	6564	+	WP_193221120.1	WP_193221120.1		peptidoglycan-binding protein			AOBCEHNH_RS00040	909	302	
gene	tRNA	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	6608	6681	+							AOBCEHNH_RS00045	74		old_locus_tag=JKKLCJKK_01354,OJIJPFFD_RS00045
tRNA		GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	6608	6681	+				tRNA-Gln			AOBCEHNH_RS00045	74		anticodon=TTG
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	6735	7388	+							AOBCEHNH_RS00050	654		old_locus_tag=JKKLCJKK_01355,OJIJPFFD_RS00050
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	6735	7388	+	WP_152062695.1	WP_152062695.1		HAD family hydrolase			AOBCEHNH_RS00050	654	217	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	7799	8359	-							AOBCEHNH_RS00055	561		old_locus_tag=JKKLCJKK_01356,OJIJPFFD_RS00055
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	7799	8359	-	WP_152062696.1	WP_152062696.1		hypothetical protein			AOBCEHNH_RS00055	561	186	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	8541	9224	-					pyrE		AOBCEHNH_RS00060	684		old_locus_tag=JKKLCJKK_01357,OJIJPFFD_RS00060
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	8541	9224	-	WP_152062697.1	WP_152062697.1		orotate phosphoribosyltransferase	pyrE		AOBCEHNH_RS00060	684	227	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	9414	10454	-							AOBCEHNH_RS00065	1041		old_locus_tag=JKKLCJKK_01358,OJIJPFFD_RS00065
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	9414	10454	-	WP_152062698.1	WP_152062698.1		branched-chain amino acid aminotransferase			AOBCEHNH_RS00065	1041	346	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	10671	11321	-							AOBCEHNH_RS00070	651		old_locus_tag=JKKLCJKK_01359,OJIJPFFD_RS00070
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	10671	11321	-	WP_152062699.1	WP_152062699.1		DedA family protein			AOBCEHNH_RS00070	651	216	
gene	protein_coding	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	11596	12300	+					cysE		AOBCEHNH_RS00075	705		old_locus_tag=JKKLCJKK_01360,OJIJPFFD_RS00075
CDS	with_protein	GCF_902501455.1	Primary Assembly	unplaced scaffold		NZ_CABWIC010000001.1	11596	12300	+	WP_152062700.1	WP_152062700.1		serine O-acetyltransferase	cysE		AOBCEHNH_RS00075	705	234	
