## Mon Oct 10 06:51:57 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ypkmqep6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ypkmqep6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ypkmqep6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_005987409.1	435830.HMPREF0045_01635	0.0	925.0	COG0488@1|root,COG0488@2|Bacteria,2H2VG@201174|Actinobacteria,4D5PN@85005|Actinomycetales	201174|Actinobacteria	S	ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
WP_006363204.1	1118060.CAGZ01000016_gene1798	5.99e-20	79.7	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4CWQV@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_006720295.1	445975.COLSTE_00633	3.1e-80	238.0	COG0093@1|root,COG0093@2|Bacteria,2IHNX@201174|Actinobacteria,4CVUJ@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	-	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
WP_006720939.1	445975.COLSTE_01293	2.64e-30	106.0	COG0267@1|root,COG0267@2|Bacteria,2GQFG@201174|Actinobacteria,4CWGB@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL33 family	rpmG	-	-	ko:K02913	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L33
WP_006721899.1	445975.COLSTE_02275	2.1e-64	196.0	COG0360@1|root,COG0360@2|Bacteria,2IQHD@201174|Actinobacteria,4CW8C@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds together with S18 to 16S ribosomal RNA	rpsF	-	-	ko:K02990	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_S6
WP_006723104.1	521003.COLINT_02877	1.89e-95	278.0	COG0080@1|root,COG0080@2|Bacteria,2IFCK@201174|Actinobacteria,4CUU5@84998|Coriobacteriia	84998|Coriobacteriia	J	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors	rplK	-	-	ko:K02867	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L11,Ribosomal_L11_N
WP_009141477.1	742742.HMPREF9452_01442	2.92e-46	148.0	COG0361@1|root,COG0361@2|Bacteria,2IQ4B@201174|Actinobacteria,4CWB4@84998|Coriobacteriia	84998|Coriobacteriia	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	-	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
WP_039910329.1	742722.HMPREF9463_00884	7.06e-40	131.0	COG0199@1|root,COG0199@2|Bacteria,2IQ8R@201174|Actinobacteria,4CWG8@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	-	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
WP_065532245.1	502558.EGYY_11940	1.28e-12	63.5	2EUS7@1|root,33N7T@2|Bacteria,2GYK8@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_066736968.1	903814.ELI_2919	7.47e-67	202.0	2E51E@1|root,32ZUT@2|Bacteria,1VGVS@1239|Firmicutes	1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
