# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904905.1	1	403	-							C1711_RS00005	403		partial;pseudo
CDS	without_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904905.1	1	403	-				homoserine kinase			C1711_RS00005	403		partial;pseudo
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904905.1	555	1689	-					thrC		C1711_RS00010	1135		partial
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904905.1	555	1689	-	WP_102337229.1	WP_102337229.1		threonine synthase	thrC		C1711_RS00010	1135	377	partial
gene	rRNA	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904906.1	13	1519	+							C1711_RS00015	1507		
rRNA		GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904906.1	13	1519	+				16S ribosomal RNA			C1711_RS00015	1507		
gene	rRNA	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904906.1	1860	2265	+							C1711_RS07765	406		partial
rRNA		GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904906.1	1860	2265	+				23S ribosomal RNA			C1711_RS07765	406		partial
gene	rRNA	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904907.1	14	129	-					rrf		C1711_RS00020	116		
rRNA		GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904907.1	14	129	-				5S ribosomal RNA	rrf		C1711_RS00020	116		
gene	rRNA	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904907.1	279	2964	-							C1711_RS00025	2686		partial
rRNA		GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904907.1	279	2964	-				23S ribosomal RNA			C1711_RS00025	2686		partial
gene	rRNA	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	241	1747	+							C1711_RS00030	1507		
rRNA		GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	241	1747	+				16S ribosomal RNA			C1711_RS00030	1507		
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	2472	3110	+					coaE		C1711_RS00035	639		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	2472	3110	+	WP_102337230.1	WP_102337230.1		dephospho-CoA kinase	coaE		C1711_RS00035	639	212	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	3103	3693	+							C1711_RS00040	591		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	3103	3693	+	WP_102337231.1	WP_102337231.1		lytic transglycosylase domain-containing protein			C1711_RS00040	591	196	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	3832	6084	+					uvrB		C1711_RS00045	2253		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	3832	6084	+	WP_102337232.1	WP_102337232.1		excinuclease ABC subunit UvrB	uvrB		C1711_RS00045	2253	750	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	6472	8121	-							C1711_RS00050	1650		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	6472	8121	-	WP_102337233.1	WP_102337233.1		FAD-binding protein			C1711_RS00050	1650	549	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	8132	9424	-							C1711_RS00055	1293		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	8132	9424	-	WP_234346113.1	WP_234346113.1		NAD(P)/FAD-dependent oxidoreductase			C1711_RS00055	1293	430	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	9393	10169	-							C1711_RS00060	777		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	9393	10169	-	WP_234346114.1	WP_234346114.1		Mrp/NBP35 family ATP-binding protein			C1711_RS00060	777	258	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	10373	11587	-							C1711_RS00065	1215		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	10373	11587	-	WP_102337235.1	WP_102337235.1		MFS transporter			C1711_RS00065	1215	404	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	11744	13642	-					cadA		C1711_RS00070	1899		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	11744	13642	-	WP_102337236.1	WP_102337236.1		cadmium-translocating P-type ATPase	cadA		C1711_RS00070	1899	632	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	13666	13884	-							C1711_RS00075	219		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	13666	13884	-	WP_102337237.1	WP_102337237.1		cation transporter			C1711_RS00075	219	72	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	13978	14295	-							C1711_RS00080	318		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	13978	14295	-	WP_102337238.1	WP_102337238.1		metalloregulator ArsR/SmtB family transcription factor			C1711_RS00080	318	105	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	14609	15574	-							C1711_RS00085	966		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	14609	15574	-	WP_102337239.1	WP_102337239.1		DNA polymerase III subunit epsilon			C1711_RS00085	966	321	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	15753	16892	+							C1711_RS00090	1140		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	15753	16892	+	WP_102337240.1	WP_102337240.1		arsenic efflux protein			C1711_RS00090	1140	379	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	17007	17531	-							C1711_RS00095	525		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	17007	17531	-	WP_102337241.1	WP_102337241.1		DUF188 domain-containing protein			C1711_RS00095	525	174	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	17751	18770	-							C1711_RS00100	1020		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	17751	18770	-	WP_102337242.1	WP_102337242.1		M42 family metallopeptidase			C1711_RS00100	1020	339	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	18939	19658	+							C1711_RS00105	720		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	18939	19658	+	WP_102337243.1	WP_102337243.1		zeta toxin family protein			C1711_RS00105	720	239	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	19980	21467	+							C1711_RS00110	1488		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	19980	21467	+	WP_102337244.1	WP_102337244.1		ATP-binding cassette domain-containing protein			C1711_RS00110	1488	495	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	22077	24299	+					nrdD		C1711_RS00115	2223		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	22077	24299	+	WP_102337245.1	WP_102337245.1		anaerobic ribonucleoside-triphosphate reductase	nrdD		C1711_RS00115	2223	740	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	24541	24831	+							C1711_RS00120	291		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	24541	24831	+	WP_102337246.1	WP_102337246.1		hypothetical protein			C1711_RS00120	291	96	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	25112	25693	+					nrdG		C1711_RS00130	582		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	25112	25693	+	WP_102337248.1	WP_102337248.1		anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG		C1711_RS00130	582	193	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	25790	26347	+					folE		C1711_RS00135	558		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	25790	26347	+	WP_102337249.1	WP_102337249.1		GTP cyclohydrolase I FolE	folE		C1711_RS00135	558	185	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	26354	27226	+							C1711_RS00140	873		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	26354	27226	+	WP_102337250.1	WP_102337250.1		biotin--[acetyl-CoA-carboxylase] ligase			C1711_RS00140	873	290	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	27353	28747	-							C1711_RS00145	1395		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	27353	28747	-	WP_102337251.1	WP_102337251.1		oxaloacetate decarboxylase subunit alpha			C1711_RS00145	1395	464	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	28751	28909	-							C1711_RS07770	159		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	28751	28909	-	WP_199824815.1	WP_199824815.1		hypothetical protein			C1711_RS07770	159	52	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	28925	30040	-							C1711_RS00150	1116		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	28925	30040	-	WP_102337252.1	WP_102337252.1		sodium ion-translocating decarboxylase subunit beta			C1711_RS00150	1116	371	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	30110	30532	-							C1711_RS00155	423		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	30110	30532	-	WP_102337253.1	WP_102337253.1		acetyl-CoA carboxylase biotin carboxyl carrier protein subunit			C1711_RS00155	423	140	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	30522	30887	-							C1711_RS00160	366		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	30522	30887	-	WP_234346115.1	WP_234346115.1		hypothetical protein			C1711_RS00160	366	121	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	31062	31598	+							C1711_RS00165	537		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	31062	31598	+	WP_102337254.1	WP_102337254.1		HD domain-containing protein			C1711_RS00165	537	178	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	31647	32129	+					folB		C1711_RS00170	483		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	31647	32129	+	WP_102337255.1	WP_102337255.1		dihydroneopterin aldolase	folB		C1711_RS00170	483	160	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	32279	33508	+							C1711_RS00175	1230		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	32279	33508	+	WP_159060009.1	WP_159060009.1		radical SAM protein			C1711_RS00175	1230	409	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	33627	34115	+							C1711_RS00180	489		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	33627	34115	+	WP_102337257.1	WP_102337257.1		hypothetical protein			C1711_RS00180	489	162	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	34133	34381	+							C1711_RS00185	249		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	34133	34381	+	WP_102337258.1	WP_102337258.1		helix-turn-helix transcriptional regulator			C1711_RS00185	249	82	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	34397	36388	-							C1711_RS00190	1992		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	34397	36388	-	WP_234346117.1	WP_234346117.1		YgiQ family radical SAM protein			C1711_RS00190	1992	663	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	36479	37156	+							C1711_RS00195	678		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	36479	37156	+	WP_102337260.1	WP_102337260.1		DUF1275 domain-containing protein			C1711_RS00195	678	225	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	37189	37476	+							C1711_RS00200	288		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	37189	37476	+	WP_102337261.1	WP_102337261.1		hypothetical protein			C1711_RS00200	288	95	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	37568	38764	-							C1711_RS00205	1197		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	37568	38764	-	WP_102337262.1	WP_102337262.1		tRNA-specific 2-thiouridylase			C1711_RS00205	1197	398	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	39090	39524	+							C1711_RS00210	435		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	39090	39524	+	WP_102337263.1	WP_102337263.1		RrF2 family transcriptional regulator			C1711_RS00210	435	144	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	39623	39991	-							C1711_RS00215	369		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	39623	39991	-	WP_102337264.1	WP_102337264.1		phage holin family protein			C1711_RS00215	369	122	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	40389	40688	+							C1711_RS00220	300		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	40389	40688	+	WP_102338484.1	WP_102338484.1		YerC/YecD family TrpR-related protein			C1711_RS00220	300	99	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	40931	43984	+							C1711_RS00225	3054		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	40931	43984	+	WP_159060010.1	WP_159060010.1		PD-(D/E)XK nuclease family protein			C1711_RS00225	3054	1017	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	43985	47560	+							C1711_RS00230	3576		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	43985	47560	+	WP_102337266.1	WP_102337266.1		UvrD-helicase domain-containing protein			C1711_RS00230	3576	1191	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	47899	51702	+					dnaE		C1711_RS00235	3804		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	47899	51702	+	WP_102337267.1	WP_102337267.1		DNA polymerase III subunit alpha	dnaE		C1711_RS00235	3804	1267	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	51783	52148	+							C1711_RS00240	366		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	51783	52148	+	WP_102337268.1	WP_102337268.1		iron-binding protein			C1711_RS00240	366	121	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	52152	54170	+							C1711_RS00245	2019		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	52152	54170	+	WP_102337269.1	WP_102337269.1		hypothetical protein			C1711_RS00245	2019	672	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	54246	54770	+					ruvC		C1711_RS00250	525		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	54246	54770	+	WP_102337270.1	WP_102337270.1		crossover junction endodeoxyribonuclease RuvC	ruvC		C1711_RS00250	525	174	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	54767	55393	+					ruvA		C1711_RS00255	627		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	54767	55393	+	WP_102337271.1	WP_102337271.1		Holliday junction branch migration protein RuvA	ruvA		C1711_RS00255	627	208	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	55393	56460	+					ruvB		C1711_RS00260	1068		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	55393	56460	+	WP_102337272.1	WP_102337272.1		Holliday junction branch migration DNA helicase RuvB	ruvB		C1711_RS00260	1068	355	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	56695	58362	+							C1711_RS00265	1668		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	56695	58362	+	WP_102337273.1	WP_102337273.1		formate--tetrahydrofolate ligase			C1711_RS00265	1668	555	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	58449	59309	+					folD		C1711_RS00270	861		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	58449	59309	+	WP_102337274.1	WP_102337274.1		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	folD		C1711_RS00270	861	286	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	59569	59796	-							C1711_RS00275	228		
CDS	with_protein	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	59569	59796	-	WP_102337275.1	WP_102337275.1		cold-shock protein			C1711_RS00275	228	75	
gene	protein_coding	GCF_900199705.1	Primary Assembly	unplaced scaffold		NZ_LT904908.1	59938	61617	+							C1711_RS00280	1680		
