Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786514.1, collinsella_provencensis_WP_102338502.1, collinsella_intestinalis_WP_226803214.1, senegalimassilia_anaerobia_WP_042434583.1, senegalimassilia_faecalis_WP_129424323.1	senegalimassilia_anaerobia_WP_042434586.1, senegalimassilia_faecalis_WP_129424321.1, collinsella_aerofaciens_WP_124786625.1, collinsella_intestinalis_WP_152063499.1, collinsella_provencensis_WP_234346283.1, collinsella_aerofaciens_WP_124786617.1, collinsella_intestinalis_WP_152063539.1, collinsella_provencensis_WP_102338269.1, collinsella_provencensis_WP_199824882.1, collinsella_aerofaciens_WP_117773874.1, collinsella_intestinalis_WP_152062772.1, collinsella_provencensis_WP_102338104.1, collinsella_intestinalis_WP_152063471.1, collinsella_aerofaciens_WP_124785716.1, collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1, collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n7	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786625.1, collinsella_intestinalis_WP_152063499.1, collinsella_provencensis_WP_234346283.1	collinsella_aerofaciens_WP_124786617.1, collinsella_intestinalis_WP_152063539.1, collinsella_provencensis_WP_102338269.1, collinsella_provencensis_WP_199824882.1, collinsella_aerofaciens_WP_117773874.1, collinsella_intestinalis_WP_152062772.1, collinsella_provencensis_WP_102338104.1, collinsella_intestinalis_WP_152063471.1, collinsella_aerofaciens_WP_124785716.1, collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1, collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n10	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786617.1, collinsella_intestinalis_WP_152063539.1, collinsella_provencensis_WP_102338269.1	collinsella_provencensis_WP_199824882.1, collinsella_aerofaciens_WP_117773874.1, collinsella_intestinalis_WP_152062772.1, collinsella_provencensis_WP_102338104.1, collinsella_intestinalis_WP_152063471.1, collinsella_aerofaciens_WP_124785716.1, collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1, collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n13	1.0	Non-Terminal	collinsella_provencensis_WP_199824882.1, collinsella_aerofaciens_WP_117773874.1, collinsella_intestinalis_WP_152062772.1	collinsella_provencensis_WP_102338104.1, collinsella_intestinalis_WP_152063471.1, collinsella_aerofaciens_WP_124785716.1, collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1, collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n16	1.0	Non-Terminal	collinsella_provencensis_WP_102338104.1, collinsella_intestinalis_WP_152063471.1, collinsella_aerofaciens_WP_124785716.1	collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1, collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n19	1.0	Non-Terminal	collinsella_aerofaciens_WP_117773875.1, collinsella_intestinalis_WP_152062773.1, collinsella_provencensis_WP_234346259.1	collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1, collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n22	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786618.1, collinsella_provencensis_WP_102338268.1, collinsella_intestinalis_WP_193221201.1	collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1, collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000000	N2	n25	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786626.1, collinsella_intestinalis_WP_193221195.1, collinsella_provencensis_WP_102338152.1	collinsella_intestinalis_WP_152063060.1, collinsella_provencensis_WP_102337401.1, collinsella_aerofaciens_WP_124786513.1
OG0000001	N0	n0	1.0	Non-Terminal	collinsella_provencensis_WP_102338223.1, collinsella_intestinalis_WP_152062722.1, collinsella_aerofaciens_WP_206428141.1, senegalimassilia_anaerobia_WP_042435685.1, senegalimassilia_faecalis_WP_129424626.1	collinsella_intestinalis_WP_152062955.1, collinsella_aerofaciens_WP_124786383.1, collinsella_provencensis_WP_102338488.1, collinsella_aerofaciens_WP_055252429.1, collinsella_provencensis_WP_102338492.1, collinsella_intestinalis_WP_152063434.1, collinsella_aerofaciens_WP_171021474.1, collinsella_intestinalis_WP_193221128.1, collinsella_aerofaciens_WP_148315663.1, collinsella_provencensis_WP_234346364.1, collinsella_intestinalis_WP_152063859.1, collinsella_provencensis_WP_102338559.1, collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1, collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	N0	n5	0.6	Non-Terminal	collinsella_intestinalis_WP_152062955.1, collinsella_aerofaciens_WP_124786383.1, collinsella_provencensis_WP_102338488.1	collinsella_aerofaciens_WP_055252429.1, collinsella_provencensis_WP_102338492.1, collinsella_intestinalis_WP_152063434.1, collinsella_aerofaciens_WP_171021474.1, collinsella_intestinalis_WP_193221128.1, collinsella_aerofaciens_WP_148315663.1, collinsella_provencensis_WP_234346364.1, collinsella_intestinalis_WP_152063859.1, collinsella_provencensis_WP_102338559.1, collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1, collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	N0	n8	0.6	Non-Terminal	collinsella_aerofaciens_WP_055252429.1, collinsella_provencensis_WP_102338492.1, collinsella_intestinalis_WP_152063434.1	collinsella_aerofaciens_WP_171021474.1, collinsella_intestinalis_WP_193221128.1, collinsella_aerofaciens_WP_148315663.1, collinsella_provencensis_WP_234346364.1, collinsella_intestinalis_WP_152063859.1, collinsella_provencensis_WP_102338559.1, collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1, collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	N0	n11	0.4	Non-Terminal	collinsella_aerofaciens_WP_171021474.1, collinsella_intestinalis_WP_193221128.1	collinsella_aerofaciens_WP_148315663.1, collinsella_provencensis_WP_234346364.1, collinsella_intestinalis_WP_152063859.1, collinsella_provencensis_WP_102338559.1, collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1, collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	N0	n13	0.6	Non-Terminal	collinsella_aerofaciens_WP_148315663.1, collinsella_provencensis_WP_234346364.1, collinsella_intestinalis_WP_152063859.1	collinsella_provencensis_WP_102338559.1, collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1, collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	N0	n17	0.4	Non-Terminal	collinsella_intestinalis_WP_193221233.1, collinsella_aerofaciens_WP_241154626.1, collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1	collinsella_intestinalis_WP_152062998.1, collinsella_aerofaciens_WP_117584246.1, senegalimassilia_anaerobia_WP_202898049.1, senegalimassilia_faecalis_WP_129424547.1
OG0000001	collinsella_aerofaciens	n19	1.0	Terminal	collinsella_aerofaciens_WP_241154626.1	collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1, collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1
OG0000001	collinsella_aerofaciens	n20	1.0	Terminal	collinsella_aerofaciens_WP_164473283.1, collinsella_aerofaciens_WP_158558586.1	collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1, collinsella_aerofaciens_WP_089573263.1
OG0000001	collinsella_aerofaciens	n21	1.0	Terminal	collinsella_aerofaciens_WP_164473283.1	collinsella_aerofaciens_WP_158558586.1
OG0000001	collinsella_aerofaciens	n22	1.0	Terminal	collinsella_aerofaciens_WP_035137759.1, collinsella_aerofaciens_WP_055250122.1	collinsella_aerofaciens_WP_089573263.1
OG0000001	collinsella_aerofaciens	n23	1.0	Terminal	collinsella_aerofaciens_WP_035137759.1	collinsella_aerofaciens_WP_055250122.1
OG0000002	N0	n0	1.0	Non-Terminal	collinsella_intestinalis_WP_039910579.1, senegalimassilia_faecalis_WP_129423327.1, senegalimassilia_anaerobia_WP_042432605.1, collinsella_aerofaciens_WP_124786504.1, senegalimassilia_faecalis_WP_129423385.1, senegalimassilia_anaerobia_WP_042433509.1, collinsella_aerofaciens_WP_117772844.1, collinsella_provencensis_WP_102338115.1	collinsella_intestinalis_WP_118271855.1, collinsella_aerofaciens_WP_089572665.1, senegalimassilia_faecalis_WP_129423999.1, senegalimassilia_anaerobia_WP_042434968.1, senegalimassilia_anaerobia_WP_042434970.1, collinsella_provencensis_WP_102338631.1, senegalimassilia_anaerobia_WP_042432516.1, senegalimassilia_faecalis_WP_042432516.1, collinsella_aerofaciens_WP_206428096.1, collinsella_intestinalis_WP_152063347.1, collinsella_aerofaciens_WP_124785856.1, collinsella_intestinalis_WP_039910684.1, collinsella_provencensis_WP_102338300.1, collinsella_aerofaciens_WP_055250129.1, collinsella_intestinalis_WP_152063430.1, collinsella_intestinalis_WP_226803317.1, collinsella_aerofaciens_WP_006236208.1, collinsella_intestinalis_WP_039910408.1, collinsella_provencensis_WP_102338059.1
OG0000002	N0	n1	0.6	Non-Terminal	collinsella_intestinalis_WP_039910579.1, senegalimassilia_faecalis_WP_129423327.1, senegalimassilia_anaerobia_WP_042432605.1, collinsella_aerofaciens_WP_124786504.1	senegalimassilia_faecalis_WP_129423385.1, senegalimassilia_anaerobia_WP_042433509.1, collinsella_aerofaciens_WP_117772844.1, collinsella_provencensis_WP_102338115.1
OG0000002	N0	n8	1.0	Non-Terminal	collinsella_intestinalis_WP_118271855.1, collinsella_aerofaciens_WP_089572665.1, senegalimassilia_faecalis_WP_129423999.1, senegalimassilia_anaerobia_WP_042434968.1, senegalimassilia_anaerobia_WP_042434970.1, collinsella_provencensis_WP_102338631.1	senegalimassilia_anaerobia_WP_042432516.1, senegalimassilia_faecalis_WP_042432516.1, collinsella_aerofaciens_WP_206428096.1, collinsella_intestinalis_WP_152063347.1, collinsella_aerofaciens_WP_124785856.1, collinsella_intestinalis_WP_039910684.1, collinsella_provencensis_WP_102338300.1, collinsella_aerofaciens_WP_055250129.1, collinsella_intestinalis_WP_152063430.1, collinsella_intestinalis_WP_226803317.1, collinsella_aerofaciens_WP_006236208.1, collinsella_intestinalis_WP_039910408.1, collinsella_provencensis_WP_102338059.1
OG0000002	N1	n12	0.5	Non-Terminal	senegalimassilia_faecalis_WP_129423999.1, senegalimassilia_anaerobia_WP_042434968.1	senegalimassilia_anaerobia_WP_042434970.1
OG0000002	N2	n16	0.666666666667	Non-Terminal	collinsella_aerofaciens_WP_206428096.1, collinsella_intestinalis_WP_152063347.1	collinsella_aerofaciens_WP_124785856.1, collinsella_intestinalis_WP_039910684.1, collinsella_provencensis_WP_102338300.1, collinsella_aerofaciens_WP_055250129.1, collinsella_intestinalis_WP_152063430.1, collinsella_intestinalis_WP_226803317.1, collinsella_aerofaciens_WP_006236208.1, collinsella_intestinalis_WP_039910408.1, collinsella_provencensis_WP_102338059.1
OG0000002	N2	n18	1.0	Non-Terminal	collinsella_aerofaciens_WP_124785856.1, collinsella_intestinalis_WP_039910684.1, collinsella_provencensis_WP_102338300.1, collinsella_aerofaciens_WP_055250129.1, collinsella_intestinalis_WP_152063430.1, collinsella_intestinalis_WP_226803317.1	collinsella_aerofaciens_WP_006236208.1, collinsella_intestinalis_WP_039910408.1, collinsella_provencensis_WP_102338059.1
OG0000002	N2	n19	0.666666666667	Non-Terminal	collinsella_aerofaciens_WP_124785856.1, collinsella_intestinalis_WP_039910684.1, collinsella_provencensis_WP_102338300.1	collinsella_aerofaciens_WP_055250129.1, collinsella_intestinalis_WP_152063430.1, collinsella_intestinalis_WP_226803317.1
OG0000002	collinsella_intestinalis	n23	1.0	Terminal	collinsella_intestinalis_WP_152063430.1	collinsella_intestinalis_WP_226803317.1
