## Mon Oct 10 06:54:44 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_006363204.1	1118060.CAGZ01000016_gene1798	5.99e-20	79.7	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4CWQV@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_123184448.1	479437.Elen_1709	1.06e-117	338.0	COG1917@1|root,COG1917@2|Bacteria,2HUIY@201174|Actinobacteria,4CUVP@84998|Coriobacteriia	84998|Coriobacteriia	K	Cupin domain	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2,HTH_19,HTH_31
WP_123184450.1	479437.Elen_1707	5.58e-72	226.0	COG0489@1|root,COG0489@2|Bacteria,2I6H7@201174|Actinobacteria,4CVSM@84998|Coriobacteriia	84998|Coriobacteriia	D	protein tyrosine kinase activity	-	-	-	-	-	-	-	-	-	-	-	-	CbiA
WP_123184451.1	1384484.AEQU_1115	5.14e-25	94.7	COG1146@1|root,COG1146@2|Bacteria,2GVRQ@201174|Actinobacteria,4CWGY@84998|Coriobacteriia	84998|Coriobacteriia	C	4Fe-4S dicluster domain	-	-	1.2.7.3	ko:K00176	ko00020,ko00720,ko01100,ko01120,ko01200,map00020,map00720,map01100,map01120,map01200	M00009,M00011,M00173,M00620	R01197	RC00004,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
WP_123184452.1	479437.Elen_1705	1.88e-200	561.0	COG0674@1|root,COG0674@2|Bacteria,2GKXV@201174|Actinobacteria,4CV32@84998|Coriobacteriia	84998|Coriobacteriia	C	PFAM Pyruvate flavodoxin ferredoxin oxidoreductase	-	-	1.2.7.11,1.2.7.3	ko:K00174	ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200	M00009,M00011,M00173,M00620	R01196,R01197	RC00004,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	PFOR_II,POR_N
WP_123184453.1	479437.Elen_1704	2.45e-172	484.0	COG1013@1|root,COG1013@2|Bacteria,2GMI5@201174|Actinobacteria,4CUPH@84998|Coriobacteriia	84998|Coriobacteriia	C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	-	-	1.2.7.11,1.2.7.3	ko:K00175	ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200	M00009,M00011,M00173,M00620	R01196,R01197	RC00004,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
WP_123184454.1	428125.CLOLEP_03092	1.58e-75	231.0	COG1014@1|root,COG1014@2|Bacteria,1UYYG@1239|Firmicutes,24I53@186801|Clostridia,3WJ35@541000|Ruminococcaceae	186801|Clostridia	C	Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductases gamma subunit	-	-	1.2.7.3	ko:K00177	ko00020,ko00720,ko01100,ko01120,ko01200,map00020,map00720,map01100,map01120,map01200	M00009,M00011,M00173,M00620	R01197	RC00004,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
WP_123184455.1	502558.EGYY_13510	1.79e-97	286.0	COG1396@1|root,COG1917@1|root,COG1396@2|Bacteria,COG1917@2|Bacteria,2HT4A@201174|Actinobacteria,4CVM9@84998|Coriobacteriia	84998|Coriobacteriia	K	AraC-like ligand binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2,HTH_19,HTH_31
WP_123184462.1	1121866.AUGK01000004_gene95	1.9e-108	315.0	COG2065@1|root,COG2065@2|Bacteria,2GJNP@201174|Actinobacteria,4CUFE@84998|Coriobacteriia	84998|Coriobacteriia	F	Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant	pyrR	-	2.4.2.9	ko:K02825	ko00240,ko01100,map00240,map01100	-	R00966	RC00063	ko00000,ko00001,ko01000,ko03000	-	-	-	Pribosyltran
WP_123184471.1	502558.EGYY_14510	4.22e-50	159.0	COG1758@1|root,COG1758@2|Bacteria,2HV5Z@201174|Actinobacteria,4CWD6@84998|Coriobacteriia	84998|Coriobacteriia	K	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits	rpoZ	-	2.7.7.6	ko:K03060	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb6
