# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	305	1951	+							E5982_RS00005	1647		old_locus_tag=E5982_00005
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	305	1951	+	WP_123186231.1	WP_123186231.1		YfcC family protein			E5982_RS00005	1647	548	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	2254	3981	+					argS		E5982_RS00010	1728		old_locus_tag=E5982_00010
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	2254	3981	+	WP_123186230.1	WP_123186230.1		arginine--tRNA ligase	argS		E5982_RS00010	1728	575	
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	4106	4180	+							E5982_RS00015	75		old_locus_tag=E5982_00015
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	4106	4180	+				tRNA-Val			E5982_RS00015	75		anticodon=GAC
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	4247	6295	+							E5982_RS00020	2049		old_locus_tag=E5982_00020
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	4247	6295	+	WP_123186229.1	WP_123186229.1		Na+/H+ antiporter			E5982_RS00020	2049	682	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	6419	7924	+							E5982_RS00025	1506		old_locus_tag=E5982_00025
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	6419	7924	+	WP_235870075.1	WP_235870075.1		NYN domain-containing protein			E5982_RS00025	1506	501	
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8017	8092	+							E5982_RS00030	76		old_locus_tag=E5982_00030
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8017	8092	+				tRNA-Gly			E5982_RS00030	76		anticodon=GCC
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8157	8230	+							E5982_RS00035	74		old_locus_tag=E5982_00035
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8157	8230	+				tRNA-Cys			E5982_RS00035	74		anticodon=GCA
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8246	8321	+							E5982_RS00040	76		old_locus_tag=E5982_00040
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8246	8321	+				tRNA-Gly			E5982_RS00040	76		anticodon=GCC
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8406	9104	-							E5982_RS00045	699		old_locus_tag=E5982_00045
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	8406	9104	-	WP_136845034.1	WP_136845034.1		ABC-2 transporter permease			E5982_RS00045	699	232	
