# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	757	1608	-							SFHG_RS03325	852		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	757	1608	-	WP_052297787.1	WP_052297787.1		metallophosphoesterase			SFHG_RS03325	852	283	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	1624	1950	-							SFHG_RS03330	327		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	1624	1950	-	WP_042433760.1	WP_042433760.1		ribbon-helix-helix protein, CopG family			SFHG_RS03330	327	108	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	3022	4452	+							SFHG_RS10075	1431		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	3022	4452	+	WP_052297788.1	WP_052297788.1		hypothetical protein			SFHG_RS10075	1431	476	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	4858	5733	+							SFHG_RS03340	876		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	4858	5733	+	WP_042433762.1	WP_042433762.1		methylenetetrahydrofolate reductase			SFHG_RS03340	876	291	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	5730	6578	+							SFHG_RS03345	849		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	5730	6578	+	WP_148514749.1	WP_148514749.1		vitamin B12 dependent methionine synthase			SFHG_RS03345	849	282	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	6568	9162	+							SFHG_RS03350	2595		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	6568	9162	+	WP_081468921.1	WP_081468921.1		homocysteine S-methyltransferase family protein			SFHG_RS03350	2595	864	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	9507	10856	-							SFHG_RS03355	1350		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	9507	10856	-	WP_042433765.1	WP_042433765.1		sodium-dependent transporter			SFHG_RS03355	1350	449	
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	10911	10986	-							SFHG_RS03360	76		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	10911	10986	-				tRNA-Ala			SFHG_RS03360	76		anticodon=GGC
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11200	11275	-							SFHG_RS03365	76		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11200	11275	-				tRNA-Ala			SFHG_RS03365	76		anticodon=GGC
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11424	11825	-							SFHG_RS03370	402		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11424	11825	-	WP_042433777.1	WP_042433777.1		PaaI family thioesterase			SFHG_RS03370	402	133	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11905	13035	-							SFHG_RS03375	1131		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	11905	13035	-	WP_052297790.1	WP_052297790.1		hypothetical protein			SFHG_RS03375	1131	376	
