## Wed Dec 28 16:30:38 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_006234636.1	1034345.CAEM01000016_gene285	3.6e-42	138.0	28ZR3@1|root,2ZMG0@2|Bacteria,2HAFM@201174|Actinobacteria,4CWC5@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_006363204.1	1118060.CAGZ01000016_gene1798	5.99e-20	79.7	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4CWQV@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_006681531.1	661087.HMPREF1008_00299	1.56e-12	63.2	2E5UB@1|root,30W44@2|Bacteria,2H9RU@201174|Actinobacteria,4CWUK@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_009306348.1	1034345.CAEM01000014_gene171	1.58e-33	115.0	COG0255@1|root,COG0255@2|Bacteria,2IQ6V@201174|Actinobacteria,4CWMP@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the universal ribosomal protein uL29 family	rpmC	-	-	ko:K02904	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L29
WP_022370037.1	479437.Elen_2165	1.18e-38	128.0	COG0199@1|root,COG0199@2|Bacteria,2IQ8R@201174|Actinobacteria,4CWG8@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	-	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
WP_035138971.1	742722.HMPREF9463_02006	3.96e-49	156.0	COG4710@1|root,COG4710@2|Bacteria,2GXF0@201174|Actinobacteria,4CWQ8@84998|Coriobacteriia	84998|Coriobacteriia	S	CopG domain protein DNA-binding domain protein	-	-	-	ko:K18918	-	-	-	-	ko00000,ko02048,ko03000	-	-	-	-
WP_035138972.1	742722.HMPREF9463_02007	3.65e-59	182.0	COG2026@1|root,COG2026@2|Bacteria,2GSVC@201174|Actinobacteria,4CWMI@84998|Coriobacteriia	84998|Coriobacteriia	DJ	addiction module toxin, RelE StbE family	-	-	-	ko:K06218	-	-	-	-	ko00000,ko02048	-	-	-	ParE_toxin
WP_042432147.1	1034345.CAEM01000002_gene1163	4.47e-177	493.0	COG1540@1|root,COG1540@2|Bacteria,2GJA1@201174|Actinobacteria,4CV1J@84998|Coriobacteriia	84998|Coriobacteriia	S	Belongs to the UPF0271 (lamB) family	-	-	-	ko:K07160	-	-	-	-	ko00000	-	-	-	LamB_YcsF
WP_042432253.1	1034345.CAEM01000002_gene1211	9.87e-58	178.0	COG0238@1|root,COG0238@2|Bacteria,2IQ92@201174|Actinobacteria,4CW67@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit	rpsR	-	-	ko:K02963	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S18
WP_042432297.1	502558.EGYY_30360	2.36e-22	86.3	COG0230@1|root,COG0230@2|Bacteria,2GQFY@201174|Actinobacteria,4CWG7@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
WP_042432320.1	1034345.CAEM01000002_gene1238	2.64e-30	106.0	COG0550@1|root,COG0550@2|Bacteria,2HVAJ@201174|Actinobacteria,4CWJS@84998|Coriobacteriia	84998|Coriobacteriia	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_042432432.1	1034345.CAEM01000004_gene1479	5.42e-158	443.0	COG0437@1|root,COG0437@2|Bacteria,2HUJQ@201174|Actinobacteria,4CUYT@84998|Coriobacteriia	84998|Coriobacteriia	C	domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Fer4
WP_042432438.1	1034345.CAEM01000004_gene1482	1.79e-133	377.0	COG0437@1|root,COG0437@2|Bacteria,2HUSA@201174|Actinobacteria,4CVIF@84998|Coriobacteriia	84998|Coriobacteriia	C	4Fe-4S dicluster domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4,Fer4_11,Fer4_3
WP_042432516.1	1034345.CAEM01000008_gene1261	3.55e-171	477.0	COG0745@1|root,COG0745@2|Bacteria,2GMP1@201174|Actinobacteria,4CYGQ@84998|Coriobacteriia	84998|Coriobacteriia	K	response regulator receiver	-	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
WP_042432884.1	1034345.CAEM01000014_gene173	2.18e-80	238.0	COG0093@1|root,COG0093@2|Bacteria,2IHNX@201174|Actinobacteria,4CVUJ@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	-	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
WP_042433154.1	1034345.CAEM01000015_gene282	5.69e-132	373.0	2CI9W@1|root,346PD@2|Bacteria,2I89G@201174|Actinobacteria,4CWT3@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
