HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N0.HOG0000000	OG0000000	n1	WP_124786514.1	WP_226803214.1	WP_102338502.1	WP_042434583.1	WP_129424323.1
N0.HOG0000001	OG0000000	n5	WP_124786625.1, WP_124786617.1, WP_117773874.1, WP_124785716.1, WP_117773875.1, WP_124786618.1, WP_124786626.1, WP_124786513.1	WP_152063499.1, WP_152063539.1, WP_152062772.1, WP_152063471.1, WP_152062773.1, WP_193221201.1, WP_193221195.1, WP_152063060.1	WP_234346283.1, WP_102338269.1, WP_199824882.1, WP_102338104.1, WP_234346259.1, WP_102338268.1, WP_102338152.1, WP_102337401.1	WP_042434586.1	WP_129424321.1
N0.HOG0000002	OG0000001	n1	WP_206428141.1	WP_152062722.1	WP_102338223.1	WP_042435685.1	WP_129424626.1
N0.HOG0000003	OG0000001	n5	WP_124786383.1, WP_055252429.1, WP_171021474.1, WP_148315663.1, WP_241154626.1, WP_164473283.1, WP_158558586.1, WP_035137759.1, WP_055250122.1, WP_089573263.1, WP_117584246.1	WP_152062955.1, WP_152063434.1, WP_193221128.1, WP_152063859.1, WP_193221233.1, WP_152062998.1	WP_102338488.1, WP_102338492.1, WP_234346364.1, WP_102338559.1	WP_202898049.1	WP_129424547.1
N0.HOG0000004	OG0000002	n2	WP_124786504.1	WP_039910579.1		WP_042432605.1	WP_129423327.1
N0.HOG0000005	OG0000002	n5	WP_117772844.1		WP_102338115.1	WP_042433509.1	WP_129423385.1
N0.HOG0000006	OG0000002	n9	WP_089572665.1	WP_118271855.1	WP_102338631.1	WP_042434968.1, WP_042434970.1	WP_129423999.1
N0.HOG0000007	OG0000002	n14	WP_206428096.1, WP_124785856.1, WP_055250129.1, WP_006236208.1	WP_152063347.1, WP_039910684.1, WP_152063430.1, WP_226803317.1, WP_039910408.1	WP_102338300.1, WP_102338059.1	WP_042432516.1	WP_042432516.1
N0.HOG0000008	OG0000003	n3	WP_164473294.1				WP_129424999.1
N0.HOG0000009	OG0000003	n4	WP_124786103.1				WP_201738743.1
N0.HOG0000010	OG0000003	n5			WP_102337299.1	WP_042436049.1	WP_129423013.1
N0.HOG0000011	OG0000003	n9	WP_124786265.1				WP_129424990.1
N0.HOG0000012	OG0000003	n10	WP_124786013.1	WP_152063020.1			WP_129423014.1, WP_129424974.1, WP_129425019.1, WP_129424976.1, WP_161566653.1
N0.HOG0000013	OG0000003	n17	WP_117772957.1, WP_117772953.1				WP_129424997.1
N0.HOG0000014	OG0000003	n19	WP_124786183.1		WP_199824816.1, WP_159060018.1	WP_042436074.1	WP_129424992.1, WP_129423015.1
N0.HOG0000015	OG0000004	n0	WP_117584077.1, WP_022095206.1			WP_042435737.1	WP_201738679.1, WP_129424515.1, WP_129424529.1, WP_129425626.1, WP_129425246.1, WP_201738779.1, WP_129424695.1, WP_129425820.1, WP_129425634.1, WP_129424261.1, WP_129423613.1, WP_201738778.1, WP_201738767.1, WP_129423383.1, WP_129423028.1, WP_129425133.1
N0.HOG0000016	OG0000005	n0	WP_124786548.1, WP_117773004.1, WP_124785713.1, WP_124785914.1	WP_226803352.1, WP_152063801.1, WP_152063280.1, WP_152063576.1, WP_152062718.1	WP_102337688.1, WP_102337713.1	WP_052297769.1, WP_052297788.1	WP_236648243.1, WP_129423375.1, WP_129424287.1, WP_129423043.1
N0.HOG0000017	OG0000006	n0	WP_118066177.1, WP_117563729.1, WP_124785819.1, WP_117776443.1, WP_118258625.1, WP_089573620.1, WP_124786370.1, WP_117799801.1	WP_152062911.1, WP_152062917.1	WP_102338098.1, WP_102338217.1, WP_102337674.1, WP_102337679.1, WP_102337821.1, WP_234346182.1		
N0.HOG0000018	OG0000007	n0	WP_124786573.1, WP_124785815.1, WP_117862213.1, WP_124786001.1, WP_117839968.1, WP_192924133.1	WP_226803188.1	WP_102337675.1, WP_102337670.1, WP_102338221.1, WP_234346271.1, WP_102337823.1, WP_159060083.1, WP_102338167.1, WP_102338021.1, WP_102338241.1		
N0.HOG0000019	OG0000008	n1	WP_124786342.1	WP_152062938.1	WP_102337648.1	WP_042436896.1	WP_129423848.1
N0.HOG0000020	OG0000008	n6	WP_117840353.1	WP_152062763.1	WP_102337607.1		WP_236648285.1
N0.HOG0000021	OG0000008	n9	WP_124785974.1	WP_152062873.1, WP_152063528.1	WP_234346204.1, WP_102338289.1	WP_081469081.1	WP_129425172.1
N0.HOG0000022	OG0000009	n0	WP_117840575.1			WP_042432387.1, WP_202898150.1, WP_222859231.1, WP_238318272.1, WP_052297765.1, WP_042435680.1	WP_129423621.1, WP_201738732.1, WP_129425836.1, WP_201738722.1, WP_129424891.1, WP_201738791.1, WP_129423842.1, WP_236648291.1, WP_129424620.1
N0.HOG0000023	OG0000010	n0				WP_042432580.1, WP_042432572.1, WP_042432375.1	WP_129425624.1, WP_129425249.1, WP_129425632.1, WP_129425818.1, WP_129424697.1, WP_201738636.1, WP_129425476.1, WP_129424512.1, WP_129424527.1, WP_201738713.1, WP_129423289.1, WP_129424263.1, WP_129423611.1
N0.HOG0000024	OG0000011	n0	WP_124786574.1, WP_118345060.1, WP_117563725.1	WP_152062920.1, WP_152063569.1, WP_152062915.1	WP_102337676.1, WP_102337671.1, WP_102338220.1, WP_102338096.1, WP_102338240.1, WP_102338166.1, WP_102338022.1, WP_102337824.1		
N0.HOG0000025	OG0000012	n1			WP_159060071.1		WP_129425253.1
N0.HOG0000026	OG0000012	n2	WP_124785840.1, WP_089573344.1, WP_124786170.1, WP_124786079.1	WP_193221139.1, WP_152063584.1	WP_159060082.1, WP_159060061.1, WP_102338315.1, WP_159060012.1		WP_129425117.1
N0.HOG0000027	OG0000013	n1	WP_206428106.1	WP_152063856.1	WP_234346375.1	WP_042435327.1	WP_129426113.1
N0.HOG0000028	OG0000013	n6	WP_117776691.1	WP_006722406.1			
N0.HOG0000029	OG0000013	n8	WP_118935355.1				WP_129423202.1
N0.HOG0000030	OG0000013	n9	WP_197032117.1	WP_226803286.1		WP_042434983.1	WP_129423997.1
N0.HOG0000031	OG0000014	n3			WP_102337818.1	WP_042433088.1	WP_201738608.1
N0.HOG0000032	OG0000014	n6			WP_234346215.1		WP_129423127.1
N0.HOG0000033	OG0000014	n7			WP_157966984.1		WP_129423335.1
N0.HOG0000034	OG0000014	n8	WP_124786633.1		WP_102338452.1	WP_238318312.1, WP_042435885.1	WP_129425548.1
N0.HOG0000035	OG0000015	n0	WP_117634363.1, WP_099432278.1	WP_152062919.1, WP_152062913.1	WP_102337825.1, WP_102337672.1, WP_102338219.1, WP_102338097.1, WP_102338239.1, WP_159060070.1, WP_102338428.1, WP_102337677.1		
N0.HOG0000036	OG0000016	n0	WP_124785880.1, WP_117773361.1, WP_158558636.1, WP_124786075.1	WP_006722889.1	WP_102338214.1, WP_102338066.1, WP_102337924.1, WP_102337970.1, WP_159060060.1, WP_102337285.1		WP_129424352.1
N0.HOG0000037	OG0000017	n1	WP_124786414.1	WP_152063340.1	WP_199824895.1	WP_042435955.1, WP_081468888.1, WP_202898044.1	WP_201738618.1
