# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	2331774	1296	+							CV096_RS00005	1644		old_locus_tag=CV096_00005
CDS	with_protein	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	2331774	1296	+	WP_206428099.1	WP_206428099.1		DnaA/Hda family protein			CV096_RS00005	1644	547	
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	1535	2638	+					dnaN		CV096_RS00010	1104		old_locus_tag=CV096_00010
CDS	with_protein	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	1535	2638	+	WP_124785704.1	WP_124785704.1		DNA polymerase III subunit beta	dnaN		CV096_RS00010	1104	367	
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	2648	3754	+					recF		CV096_RS00015	1107		old_locus_tag=CV096_00015
CDS	with_protein	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	2648	3754	+	WP_117774224.1	WP_117774224.1		DNA replication and repair protein RecF	recF		CV096_RS00015	1107	368	
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	3741	4304	+							CV096_RS00020	564		old_locus_tag=CV096_00020
CDS	with_protein	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	3741	4304	+	WP_124785705.1	WP_124785705.1		DciA family protein			CV096_RS00020	564	187	
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	4410	6440	+					gyrB		CV096_RS00025	2031		old_locus_tag=CV096_00025
CDS	with_protein	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	4410	6440	+	WP_117769723.1	WP_117769723.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CV096_RS00025	2031	676	
gene	protein_coding	GCF_003856815.1	Primary Assembly	chromosome		NZ_CP024960.1	6880	9360	+					gyrA		CV096_RS00030	2481		old_locus_tag=CV096_00030
