## Mon Oct 10 06:31:03 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_e74keo15 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_e74keo15 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_e74keo15/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_002569186.1	1121115.AXVN01000011_gene3416	2.92e-78	233.0	COG1396@1|root,COG1396@2|Bacteria,1V58U@1239|Firmicutes,24HKI@186801|Clostridia,3Y1TM@572511|Blautia	186801|Clostridia	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
WP_002588768.1	411461.DORFOR_02102	1.24e-39	130.0	2DP5Q@1|root,330MY@2|Bacteria,1VFAQ@1239|Firmicutes,24R7E@186801|Clostridia,27VWT@189330|Dorea	186801|Clostridia	S	Cysteine-rich KTR	-	-	-	-	-	-	-	-	-	-	-	-	Cys_rich_KTR
WP_006233982.1	742722.HMPREF9463_01507	1.88e-71	216.0	COG1302@1|root,COG1302@2|Bacteria,2HV5F@201174|Actinobacteria,4CWCD@84998|Coriobacteriia	84998|Coriobacteriia	S	Asp23 family, cell envelope-related function	-	-	-	-	-	-	-	-	-	-	-	-	Asp23
WP_006233983.1	742722.HMPREF9463_01506	1.27e-133	378.0	COG0231@1|root,COG0231@2|Bacteria,2GJMS@201174|Actinobacteria,4CV48@84998|Coriobacteriia	84998|Coriobacteriia	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase	efp	-	-	ko:K02356	-	-	-	-	ko00000,ko03012	-	-	-	EFP,EFP_N,Elong-fact-P_C
WP_006234038.1	742722.HMPREF9463_01455	5.96e-87	256.0	COG0858@1|root,COG0858@2|Bacteria,2HV01@201174|Actinobacteria,4CW2Y@84998|Coriobacteriia	84998|Coriobacteriia	J	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA	rbfA	-	-	ko:K02834	-	-	-	-	ko00000,ko03009	-	-	-	RBFA
WP_006234042.1	742722.HMPREF9463_01453	4.01e-299	816.0	COG0195@1|root,COG0195@2|Bacteria,2GJDJ@201174|Actinobacteria,4CUWV@84998|Coriobacteriia	84998|Coriobacteriia	K	Participates in both transcription termination and antitermination	nusA	-	-	ko:K02600	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KH_5,NusA_N
WP_006234242.1	742722.HMPREF9463_01337	3.1e-102	302.0	COG3599@1|root,COG3599@2|Bacteria,2HUP3@201174|Actinobacteria,4CV9A@84998|Coriobacteriia	84998|Coriobacteriia	D	DivIVA domain protein	-	-	-	ko:K04074	-	-	-	-	ko00000,ko03036	-	-	-	DivIVA
WP_006234250.1	742722.HMPREF9463_01331	2.77e-196	546.0	COG0581@1|root,COG0581@2|Bacteria,2I2F2@201174|Actinobacteria,4CVF9@84998|Coriobacteriia	84998|Coriobacteriia	P	Phosphate transport system permease protein PstA	pstA	-	-	ko:K02038	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
WP_006234269.1	742722.HMPREF9463_01315	3.38e-99	288.0	COG2001@1|root,COG2001@2|Bacteria,2IHUB@201174|Actinobacteria,4CW7N@84998|Coriobacteriia	84998|Coriobacteriia	K	Belongs to the MraZ family	mraZ	-	-	ko:K03925	-	-	-	-	ko00000	-	-	-	MraZ
WP_006234279.1	742722.HMPREF9463_01309	9.58e-244	669.0	COG0078@1|root,COG0078@2|Bacteria,2GJ6H@201174|Actinobacteria,4CUPQ@84998|Coriobacteriia	84998|Coriobacteriia	E	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline	argF	-	2.1.3.3	ko:K00611	ko00220,ko01100,ko01110,ko01130,ko01230,map00220,map01100,map01110,map01130,map01230	M00029,M00844	R01398	RC00096	ko00000,ko00001,ko00002,ko01000	-	-	-	OTCace,OTCace_N
