## Mon Oct 10 06:42:58 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_53gi2vez --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_53gi2vez --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_53gi2vez/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_005987409.1	435830.HMPREF0045_01635	0.0	925.0	COG0488@1|root,COG0488@2|Bacteria,2H2VG@201174|Actinobacteria,4D5PN@85005|Actinomycetales	201174|Actinobacteria	S	ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
WP_021625227.1	1111135.HMPREF1248_1227	1.34e-61	189.0	COG0238@1|root,COG0238@2|Bacteria,2IQ92@201174|Actinobacteria,4CW67@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit	rpsR	-	-	ko:K02963	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S18
WP_021625248.1	1111135.HMPREF1248_1246	5.6e-21	82.8	COG0230@1|root,COG0230@2|Bacteria,2GQFY@201174|Actinobacteria	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
WP_021625356.1	1111135.HMPREF1248_0710	2.43e-242	667.0	COG1077@1|root,COG1077@2|Bacteria,2GMD1@201174|Actinobacteria,4CU7F@84998|Coriobacteriia	84998|Coriobacteriia	D	Cell shape determining protein, MreB Mrl family	-	-	-	ko:K03569	-	-	-	-	ko00000,ko02048,ko03036,ko04812	1.A.33.1,9.B.157.1	-	-	MreB_Mbl
WP_021625714.1	1111135.HMPREF1248_0927	1.98e-44	143.0	COG1278@1|root,COG1278@2|Bacteria,2GQRU@201174|Actinobacteria,4CWAW@84998|Coriobacteriia	84998|Coriobacteriia	K	'Cold-shock' DNA-binding domain	-	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
WP_021625730.1	1111135.HMPREF1248_0940	3.23e-247	678.0	COG0057@1|root,COG0057@2|Bacteria,2GJK4@201174|Actinobacteria,4CUJP@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	gap	-	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
WP_021626014.1	1111135.HMPREF1248_1418	7.29e-157	441.0	COG0619@1|root,COG0619@2|Bacteria,2IJ6S@201174|Actinobacteria,4CXQI@84998|Coriobacteriia	84998|Coriobacteriia	P	Cobalt transport protein	-	-	-	ko:K16785	ko02010,map02010	M00582	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	-	-	CbiQ
WP_021626015.1	1111135.HMPREF1248_1417	5.73e-130	370.0	2BY0N@1|root,2ZBND@2|Bacteria,2I84E@201174|Actinobacteria,4CXMB@84998|Coriobacteriia	84998|Coriobacteriia	S	TIGRFAM conserved	-	-	-	ko:K16926	-	M00582	-	-	ko00000,ko00002,ko02000	3.A.1.31	-	-	Trep_Strep
WP_021626077.1	1111135.HMPREF1248_1374	2.17e-39	130.0	COG0227@1|root,COG0227@2|Bacteria,2GQNU@201174|Actinobacteria,4CWH3@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_021626236.1	1111135.HMPREF1248_0230	9.16e-33	114.0	COG0636@1|root,COG0636@2|Bacteria,2I809@201174|Actinobacteria,4CWG6@84998|Coriobacteriia	84998|Coriobacteriia	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpE	-	-	ko:K02110	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt_C
