## Mon Oct 10 06:49:07 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dmqw6ljh --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dmqw6ljh --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dmqw6ljh/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_000033471.1	1116472.MGMO_205c00040	1.29e-19	79.0	2EFW9@1|root,339NJ@2|Bacteria,1NKF2@1224|Proteobacteria,1ST7F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Microvirus J protein	-	-	-	-	-	-	-	-	-	-	-	-	Microvir_J
WP_000065572.1	1116472.MGMO_205c00030	0.0	890.0	28IN7@1|root,2Z8NM@2|Bacteria,1NRFQ@1224|Proteobacteria,1SKG7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Capsid protein (F protein)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_F
WP_000084700.1	1116472.MGMO_205c00050	9.49e-103	297.0	28HVF@1|root,2Z81Q@2|Bacteria,1NZPF@1224|Proteobacteria,1SRZ6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Bacteriophage scaffolding protein D	-	-	-	-	-	-	-	-	-	-	-	-	gpD
WP_000436966.1	1131730.BAVI_22838	1.67e-83	246.0	2CFW4@1|root,2ZBQ2@2|Bacteria	2|Bacteria	S	Scaffold protein B	-	-	-	-	-	-	-	-	-	-	-	-	Phage_B
WP_000466547.1	1118153.MOY_16477	1.15e-190	534.0	2DBBW@1|root,2Z8AR@2|Bacteria,1R492@1224|Proteobacteria,1SJPE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Microvirus H protein (pilot protein)	-	-	-	-	-	-	-	-	-	-	-	-	Microvir_H
WP_000487867.1	1118153.MOY_16472	8.76e-126	357.0	28HGS@1|root,2Z7SJ@2|Bacteria,1R4RW@1224|Proteobacteria,1SM1Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Major spike protein (G protein)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_G
WP_001224515.1	1116472.MGMO_205c00060	4.71e-56	174.0	2AGWD@1|root,3174S@2|Bacteria,1NYQ3@1224|Proteobacteria	1224|Proteobacteria	S	Phage protein C	-	-	-	-	-	-	-	-	-	-	-	-	Phage_C
WP_001700126.1	1035191.HMPREF0185_03555	1.09e-261	722.0	28I9J@1|root,2Z8C8@2|Bacteria,1NQUB@1224|Proteobacteria	1224|Proteobacteria	S	Bacteriophage replication gene A protein (GPA)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPA
WP_006363204.1	1118060.CAGZ01000016_gene1798	5.99e-20	79.7	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4CWQV@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_006720292.1	445975.COLSTE_00630	1.28e-97	283.0	COG0197@1|root,COG0197@2|Bacteria,2IFEI@201174|Actinobacteria,4CVN3@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	rplP	-	-	ko:K02878	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L16
WP_006720295.1	445975.COLSTE_00633	3.1e-80	238.0	COG0093@1|root,COG0093@2|Bacteria,2IHNX@201174|Actinobacteria,4CVUJ@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	-	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
WP_006720998.1	445975.COLSTE_01354	1.82e-73	221.0	COG0292@1|root,COG0292@2|Bacteria,2IHTN@201174|Actinobacteria,4CVXQ@84998|Coriobacteriia	84998|Coriobacteriia	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	rplT	-	-	ko:K02887	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L20
WP_006721124.1	445975.COLSTE_01485	1.29e-177	494.0	COG0822@1|root,COG0822@2|Bacteria,2HUMR@201174|Actinobacteria,4CV4X@84998|Coriobacteriia	84998|Coriobacteriia	C	iron-sulfur transferase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_006721138.1	445975.COLSTE_01497	1.07e-57	179.0	COG0184@1|root,COG0184@2|Bacteria,2IQA0@201174|Actinobacteria,4CW78@84998|Coriobacteriia	84998|Coriobacteriia	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome	rpsO	-	-	ko:K02956	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S15
WP_006721252.1	445975.COLSTE_01618	1.42e-74	223.0	COG0335@1|root,COG0335@2|Bacteria,2IHRT@201174|Actinobacteria,4CVXA@84998|Coriobacteriia	84998|Coriobacteriia	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site	rplS	-	-	ko:K02884	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L19
WP_006721280.1	445975.COLSTE_01646	2.55e-38	127.0	COG0227@1|root,COG0227@2|Bacteria,2GQNU@201174|Actinobacteria,4CWH3@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_006722211.1	521003.COLINT_01963	2.19e-75	226.0	COG1950@1|root,COG1950@2|Bacteria,2HV6Z@201174|Actinobacteria,4CWF2@84998|Coriobacteriia	84998|Coriobacteriia	S	PFAM Membrane protein of	-	-	-	ko:K08972	-	-	-	-	ko00000	-	-	-	Phage_holin_4_2
WP_006722223.1	521003.COLINT_01975	1.87e-85	251.0	COG2033@1|root,COG2033@2|Bacteria,2HV1S@201174|Actinobacteria,4CW5V@84998|Coriobacteriia	84998|Coriobacteriia	C	Psort location Cytoplasmic, score	-	-	1.15.1.2	ko:K05919	-	-	-	-	ko00000,ko01000	-	-	-	Desulfoferrod_N,Desulfoferrodox
WP_006722242.1	521003.COLINT_01994	5.13e-79	238.0	2B1DC@1|root,31TU0@2|Bacteria,2HV71@201174|Actinobacteria,4CWF7@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_006722270.1	521003.COLINT_02022	4.05e-267	733.0	COG0765@1|root,COG0765@2|Bacteria,2GJJ9@201174|Actinobacteria,4CVDZ@84998|Coriobacteriia	84998|Coriobacteriia	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K17074	ko02010,map02010	M00589	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.3.20	-	-	BPD_transp_1
WP_006722287.1	521003.COLINT_02039	4.73e-265	727.0	COG0539@1|root,COG0539@2|Bacteria,2GJAK@201174|Actinobacteria,4CV59@84998|Coriobacteriia	84998|Coriobacteriia	J	Ribosomal protein S1	rpsA	-	-	ko:K02945	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	S1
WP_006722295.1	521003.COLINT_02047	3.52e-200	556.0	COG0573@1|root,COG0573@2|Bacteria,2ISS5@201174|Actinobacteria,4CVGD@84998|Coriobacteriia	84998|Coriobacteriia	P	probably responsible for the translocation of the substrate across the membrane	pstC	-	-	ko:K02037,ko:K02038	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
WP_006722296.1	521003.COLINT_02048	1.08e-219	607.0	COG0581@1|root,COG0581@2|Bacteria,2I2F2@201174|Actinobacteria,4CVF9@84998|Coriobacteriia	84998|Coriobacteriia	P	Phosphate transport system permease protein PstA	pstA	-	-	-	-	-	-	-	-	-	-	-	BPD_transp_1
WP_006722307.1	521003.COLINT_02059	0.0	1274.0	COG2216@1|root,COG2216@2|Bacteria,2GIWT@201174|Actinobacteria,4CUFH@84998|Coriobacteriia	84998|Coriobacteriia	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system	kdpB	-	3.6.3.12	ko:K01547	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	-	E1-E2_ATPase,Hydrolase
WP_006722349.1	521003.COLINT_02101	1.68e-94	276.0	28NY7@1|root,2ZBVG@2|Bacteria,2GRNZ@201174|Actinobacteria,4CW8T@84998|Coriobacteriia	84998|Coriobacteriia	S	Protein of unknown function (DUF2992)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2992
WP_006722365.1	521003.COLINT_02117	2.13e-40	133.0	COG4877@1|root,COG4877@2|Bacteria,2GQV1@201174|Actinobacteria,4CWN6@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_006722378.1	521003.COLINT_02129	8.18e-307	835.0	COG2235@1|root,COG2235@2|Bacteria,2GJTR@201174|Actinobacteria,4CUZS@84998|Coriobacteriia	84998|Coriobacteriia	E	Arginine deiminase	arcA	-	3.5.3.6	ko:K01478	ko00220,ko01100,ko01110,ko01130,map00220,map01100,map01110,map01130	-	R00552	RC00177	ko00000,ko00001,ko01000	-	-	-	Amidinotransf
