# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	41	1981	+							ET524_RS00005	1941		old_locus_tag=ET524_00005
CDS	with_protein	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	41	1981	+	WP_129422791.1	WP_129422791.1		ABC transporter ATP-binding protein			ET524_RS00005	1941	646	
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	2518	2742	-							ET524_RS11635	225		
CDS	with_protein	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	2518	2742	-	WP_201738872.1	WP_201738872.1		hypothetical protein			ET524_RS11635	225	74	
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	2884	3672	-					istB		ET524_RS00015	789		old_locus_tag=ET524_00015
CDS	with_protein	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	2884	3672	-	WP_129422793.1	WP_129422793.1		IS21-like element helper ATPase IstB	istB		ET524_RS00015	789	262	
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	3669	4907	-					istA		ET524_RS00020	1239		old_locus_tag=ET524_00020
CDS	with_protein	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	3669	4907	-	WP_129422794.1	WP_129422794.1		IS21 family transposase	istA		ET524_RS00020	1239	412	
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	5402	6247	-							ET524_RS00025	846		old_locus_tag=ET524_00025
CDS	with_protein	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	5402	6247	-	WP_129422795.1	WP_129422795.1		MBL fold metallo-hydrolase			ET524_RS00025	846	281	
gene	protein_coding	GCF_004135645.1	Primary Assembly	unplaced scaffold		NZ_SDPW01000001.1	6276	7151	-							ET524_RS00030	876		old_locus_tag=ET524_00030
