# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	49	123	-							BN4314_RS00005	75		
tRNA		GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	49	123	-				tRNA-Asn			BN4314_RS00005	75		anticodon=GTT
gene	protein_coding	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	182	658	-							BN4314_RS00010	477		
CDS	with_protein	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	182	658	-	WP_021734988.1	WP_021734988.1		dCMP deaminase family protein			BN4314_RS00010	477	158	
gene	protein_coding	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	760	3138	+							BN4314_RS00015	2379		
CDS	with_protein	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	760	3138	+	WP_068539088.1	WP_068539088.1		DUF3160 domain-containing protein			BN4314_RS00015	2379	792	
gene	protein_coding	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	3204	3761	+							BN4314_RS00020	558		
CDS	with_protein	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	3204	3761	+	WP_068539089.1	WP_068539089.1		hypothetical protein			BN4314_RS00020	558	185	
gene	protein_coding	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	3977	4570	+					pyrR		BN4314_RS00025	594		
CDS	with_protein	GCF_900078545.1	Primary Assembly	unplaced scaffold		NZ_FLLS01000001.1	3977	4570	+	WP_021734806.1	WP_021734806.1		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR		BN4314_RS00025	594	197	
